Job Title,Job Url,Company,Location,Summary,Posting Date,Desc
COVID-19 Vaccination Programme Admin Support,http://www.indeed.com/rc/clk?jk=b174d86342664758&fccid=c7e13048dcc4f2c8&vjs=3,Bank Partners,London,Providing admin support on the vaccination activity by supporting the immuniser with vaccination delivery and vaccination records.,15 days ago,"Location: Barts Health NHS TrustThink you could deliver the Covid-19 vaccine? Now is your chance to be part of history for the residents of north east London.We have a variety of newly-created paid roles available across both clinical and administrative roles with flexible shift patterns. We need people from all walks of life to help us as we reach this epic milestone in our fight against the virus.As a COVID-19 Vaccination (Admin) Support you will be responsible for providing administrative support within a team of staff working in a mass vaccination site. You will also be responsible for:Accessing and maintaining accurate patient records, adhering to confidentiality as per the site’s policy.Providing admin support on the vaccination activity by supporting the immuniser with vaccination delivery and vaccination records.Recording vaccination consent and marking completion.Ensuring infection and waste control at the vaccination station."
Vaccine Admin Support Covid Delivery Programme,http://www.indeed.com/rc/clk?jk=5abe6dee9da1e139&fccid=c076058f5dfd0a7a&vjs=3,Epson and St Helier University Hospitals,South West London,"However, non-EEA candidates may not be appointed to a post if a suitably qualified, experienced and skilled EU/EEA candidate is available to take up the post as…",1 day ago,"Applications from job seekers who require Tier 2 sponsorship to work in the UK are welcome and will be considered alongside all other applications. However, non-EEA candidates may not be appointed to a post if a suitably qualified, experienced and skilled EU/EEA candidate is available to take up the post as the employing body is unlikely, in these circumstances, to satisfy the resident labour market test. UK Visas and Immigration (UKVI) requires employers to complete this test to show that no suitably qualified EEA or EU worker can fill the post. For further information please visit the UKVI website. From 6 April 2017, Tier 2 skilled worker applicants, applying for entry clearance into the UK, must present a criminal record certificate from each country they have resided continuously or cumulatively for 12 months or more in the past 10 years. Adult dependants (over 18 years old) will also be subject to this requirement. Guidance can be found here Criminal Records Checks for Overseas Applicants.This post is subject to the Rehabilitation of Offenders Act (Exceptions Order) 1975 and it will be necessary for a submission for Disclosure to be made to the Disclosure and Barring Service."
Admin Personal Assistant,http://www.indeed.com/rc/clk?jk=aac567d7742e3752&fccid=aa26a8d42d4036bf&vjs=3,Furness Primary School,London,"3 days per week, term time only + 10 days.
Ability to build relationships with a range of stakeholders and anticipate other’s needs.",30+ days ago,"PART TIME SCHOOL ADMINISTRATOR/PA TO HEADTEACHER3 days per week, term time only + 10 days. Hours: 8 am – 4pm, half an hour lunch.Salary: £21,748 per annum pro rata + LW £1,978 per annum pro rataStart Date: January 2021The Role: In this role you will be providing a comprehensive administrative support to Furness Primary School, including providing support to the Senior Leadership Team. You will collaborate with other members of the school’s admin and finance team to uphold the vision and ethos of the school at all times and provide excellent customer service to a range of stakeholders.KEY RESPONSIBILITIESProvide general clerical and administrative support for the school.Taking minutes of meetings as and when required.Maintain computerised records and management information systems, providing accurate lists or data as required by colleagues or compliance bodies.Ownership of the school’s admin email address, ensuring all correspondence received is actioned/ answered/forwarded as appropriate.Organise school trips efficiently, taking responsibility for bookings and coordination of all trip requirements.Update the school diary and annual planner.Produce weekly newsletter.Assist with planning, organising and overseeing school events.Keep record of all staff absences, preparing Return to Work Interview sheets in readiness for Headteacher.Liaise with external agencies/contractors as necessary.Work in tandem with the school’s Business Manager ensuring the school is Health & Safety compliant.Carry out DBS checks for all new staff.Ensure the school’s Single Central Record is updated and compliant at all times.Cover main school office as and when required.PLEASE NOTE THE ABOVE JOB DESCRIPTION IS NOT AN EXHAUSTIVE LIST AND CAN BE ADDED TO AT ANY TIME.PERSON SPECIFICATIONEducated to GCSE English and Mathematics Grade C or above.Experience of running effective administrative systems, preferably in a school environment.Excellent organisational and time management skills, with ability to work on own initiative.Experienced in using SIMS is desirable but not essential.High level of IT proficiency/ Microsoft Office.Ability to build relationships with a range of stakeholders and anticipate other’s needs.Ability to prioritise work accordingly to meet all deadlines.If you are interested in applying please email sheila@furness.brent.sch.uk for an application pack. Applications will be reviewed on an ongoing basis and strong candidates will be called for interview immediately.Excellence in Education MAT is committed to safeguarding and promoting the welfare of children. Successful applicants will be required to undergo a DBS check."
Administrative Assistant,http://www.indeed.com/rc/clk?jk=bc15fcd81349ac74&fccid=95523754d68d9059&vjs=3,Hakna,London,There may also be a need for them to be an initial point of contact within the team and forward enquiries in line with local procedures.,5 days ago,"Job Description for Administrative Assistant:Administrative assistants play a key role in the provision of a high quality and responsive business support service to teams and frontline staff. They will need to work in a flexible and supportive manner with a range of staff in the team, depending on team requirements. Depending on the team within which the post holder works, they may be required to undertake additional specific responsibilities to assist in the effective delivery of services. There may also be a need for them to be an initial point of contact within the team and forward enquiries in line with local procedures.Role Purpose : To provide an administrative support service to operational and management teams within Adult Social Care that enables the smooth running of day-to-day activities. To work collaboratively with team members in delivering the directorate’s aim to provide personalised services for Adults in the community"
Administration Assistant – Facilities,http://www.indeed.com/rc/clk?jk=2545de5d84e6fa26&fccid=c869af706f9f123f&vjs=3,Clarke Willmott,London,"Ensuring attention to detail and accuracy when working with multiple documents.
Providing hospitality for client meetings.",Just posted,"You will be joining two other full-time team members in our central London office and reporting to our Office Manager. Whilst this role sits within Facilities Management, you will be supporting our fee earning teams with complex and process driven administrative tasks. Alongside this, the role will also encompass business support responsibilities and occasional Front of House reception work.On a day to day basis you will be assisting our busy team and your duties will include but not be limited to:Sorting incoming and outgoing post (arranging couriers when required)Carrying out general administration duties including scanning, photocopying, printing, CD copying and document bindingEnsuring attention to detail and accuracy when working with multiple documentsEscorting contractors when requiredMaintaining the office stationery stocks and ordering when necessaryAssisting with meeting and greeting clients on our Front of HouseAnswering and directing calls in a professional mannerBooking/setting up meeting rooms as requiredProviding hospitality for client meetingsBooking taxis, hotels and trains for the wider officeIt is an integral part of this role that you comply with information security and all firm policies and procedures.About youYou will have fantastic attention to detail, be meticulous in following our processes and procedures, and always have health and safety at the forefront of your mind.You should be proactive and flexible in working both individually and as part of a team, with minimal supervision, and be able to prioritise a number of different projects effectively.Communication will be one of your strong points, both written and verbal, and you will be enthusiastic about delivering excellent quality service to our fee earners.We expect you to be able to use your initiative, and be a forward-planner, anticipating your colleagues’ needs in advance wherever possible.This is a busy role, with deadlines to manage and competing priorities that are subject to change at a moment’s notice, so you will be someone who thrives when working under pressure."
Administrative Assistant (12 Months Fixed Term Contract),http://www.indeed.com/rc/clk?jk=32563c78760fc7af&fccid=618dbc5dbf1c3285&vjs=3,City University London,London,The post holder will assist other members of the team to fulfill a broad range of duties including operational activities such as managing and monitoring:…,3 days ago,"BackgroundFounded in 1894, City, University of London is a global university committed to academic excellence with a focus on business and the professions and an enviable central London location.City attracts around 20,000 students (over 40% at postgraduate level), from more than 150 countries and staff from over 75 countries.In the last decade City has almost tripled the proportion of its total academic staff producing world-leading or internationally excellent research.Led by President, Professor Sir Paul Curran, City has made significant investments in its academic staff, its estate and its infrastructure and continues to work towards realising its vision of being a leading global university.The School of Mathematics, Computer Science & Engineering is a multi-disciplinary centre of research and education located in the heart of London’s vibrant design community. It is proud of its research advances and of educating thousands of undergraduates and postgraduates in STEM subjects.The School’s Executive Support Team are responsible for providing high quality administrative and PA duties to the Senior Leadership Team comprising the Dean, Associate Deans, Chief Operating Officer and Heads of Academic Departments who are responsible for setting and meeting the School’s strategic and operational objectives.ResponsibilitiesThe post holder will assist other members of the team to fulfill a broad range of duties including operational activities such as managing and monitoring: purchasing, expense claims, supporting meetings, answering queries, and setting payments to visiting staff. The post holder will also play a key role in managing communications between senior staff and will help manage their diaries, arranging meetings and ordering catering and travel as well as looking after arrangements for School functions and events.Person SpecificationThe ideal candidate will be educated to GCSE (or equivalent). You will be able to work closely with colleagues to meet demanding deadlines and to develop excellent working relationships with staff across the School and University. The ability to work independently and to prioritise work, good IT skills using Microsoft Office products and to collect, organize and present information clearly are all essential requirements of the post.You will have experience of dealing with enquiries in person, by phone and by email and of dealing wide a wide range of customers/clients and managing their expectations."
Administrative Assistant,http://www.indeed.com/company/In--deep/jobs/Administrative-Assistant-a0db4588b8883b57?fccid=2e5f072d88ee9fd6&vjs=3,In-deep,London,"Administrative assistant: 1 year (Preferred).
We are a small grassroots charity that works with isolated older people and children with special needs and their…",Today,"We are a small grassroots charity that works with isolated older people and children with special needs and their families. We are looking for an experienced administrative assistant preferably with experience in the voluntary sector to maintain databases, update social media and website, advertise what we do and do posters as well as general administrative duties.Job Type: Part-timeSalary: £192.00 per monthCOVID-19 considerations:When in our office sanitizing and space between desks for social distancing is in place.Experience:Administration: 1 year (Preferred)administrative assistant: 1 year (Preferred)Education:A-Level or equivalent (Preferred)Administrative Duties:Carrying out requests from management as neededManaging website functions and social mediaWork remotely:Temporarily due to COVID-19"
Buying Admin Assistant - Neon Sheep,http://www.indeed.com/rc/clk?jk=32760b3350c37496&fccid=7355113806852e56&vjs=3,Neon Sheep,London,"Liaising with merchandising and warehouse to ensure smooth delivery each week.
Liaising with supplier, QC and accounts to ensure all documents and invoices are…",30+ days ago,"OverviewWe are seeking enthusiastic, resourceful, hardworking Buyers Administration Assistant who will grow with the company and add value to our team. An exceptional eye for detail is necessary, as is the ability to develop and maintain effective relationships across all areas of the business.What you'll be doingApproving branding and artwork submission for product development.Assisting in regularly reviewing stock, sales and orders as well as overseeing the administration of the stock management systems;Maintaining relationships with suppliers.Liaising with other departments within the organization to ensure projects are completed;Managing the critical path, monitoring all orders from initial product development through to delivery, ensuring the smooth running of the development process, maintaining delivery schedules and key deadlines throughout;Managing sample process ensuring all designs and fabrications are executed correctly, meeting brand requirements and internal sample managementLiaising with supplier, QC and accounts to ensure all documents and invoices are received and signed off prior to delivery;Liaising with the Web team for samples and photography, escalated customer queries, and product placement on the site.Signing off invoices and shipping documents.Approving PTS for shipments.Liaising with merchandising and warehouse to ensure smooth delivery each week.We would love to meet someone withSomeone ambitious who is looking to grow with the company and always striving for improvements in all aspects of the business, is innovative and forward thinking.Good IT skills most importantly in Excel or equivalent.Keep up to date and be aware of market trends, react to changes in demand.Must be incredibly numerate and analytical and highly organized with attention to detail.Time management and being able to prioritise as this is a never-ending job and there will always be more to be doneGood interpersonal skills – able to build and manage relationships with colleagues and suppliersWhat's in it for you?Competitive salaryHoliday allowance50% staff discount & 25% for family and friendsPension scheme"
Sourcing Admin,http://www.indeed.com/rc/clk?jk=75c9e5c62ff7339b&fccid=02bcd7cac6eb4cba&vjs=3,boohoo.com,London,"Manage spreadsheets, trackers and admin for the team.
Support the team to manage the current supply base across all 9 brands.
Managing daily ad hoc tasks.",28 days ago,"Rewarding, visionary and fast paced – Our sourcing team are looking for an Admin Assistant to join our passionate, agile and creative team based in Manchester. If your creative eye is seeking a new career within an ever changing environment, then why not evolve with us! Our unique test and repeat model makes us stand apart and allows us to react fast when bringing the product to market! Show us who you are and help us on the way to be the best trend setters of our global generation.WHAT YOU’LL DO;Support the team to manage the current supply base across all 9 brands.Manage spreadsheets, trackers and admin for the teamWork closely with the Ethical compliance team to on-board new suppliersWork with external and oversees agents and suppliersReport in to the sourcing manager/head of sourcing for the groupOwnership of supplier spreadsheets & dataManaging daily ad hoc tasksEmail management and organisationWHAT BEHAVIOURS YOU NEED;You’re great at managing your time, prioritising jobs and making sure tasks are completed accuratelyAdmin Savvy and have a great understanding of Microsoft including ExcelYou are easy to work with and get along with your whole teamYou bring your best every day, consistently focused and positiveYou’re super adaptable and will gladly adapt to changes to better benefit the teamIf you think you have everything we are looking for, we would love to hear from you!The Company is committed to equality of opportunity for all applicants including those with criminal convictions. Basic Disclosure Information about criminal convictions will be requested to assist the selection process and will be taken into account only when the conviction is considered relevant to the position. A copy of this disclosure policy is available on request."
Apprentice Business Admin Assistant- Central London,http://www.indeed.com/rc/clk?jk=187406e67d8578e4&fccid=4880782cf08f20a9&vjs=3,UCM Education,London,"The role will be full time Monday to Friday, 40 hours per week (9 – 6).
Helping them source suitable CVs, checking the suitability of candidates, writing…",29 days ago,"Business Admin Apprentice – Central LondonThe opportunity has arisen for an Apprentice Business Admin Assistant to join our fast growing Education & Healthcare Recruitment Divisions. You will be based in our lovely Mayfair office in London.This is a great opportunity for the right candidate to build a career in Recruitment with a great fast growing company with a track record in developing talent.We have a results oriented, work hard, achieve together, have fun family ethos. We are now looking for the right person to join our family.As an Apprentice Business Admin Assistant, you will be directly supporting the Recruitment Consultants. Helping them source suitable CVs, checking the suitability of candidates, writing adverts and interviewing candidates. You will be confident, a good communicator and comfortable using the phone.The role will be full time Monday to Friday, 40 hours per week (9 – 6). The company will support you whilst you complete your study.The successful candidate will:Be organized.Confident and well-articulated on the phone.Work well under pressure.Be a good communicator both written and verbal.Be a good team player.Driven to succeed.Positive attitude and an ambition to produce results.Keen to build a career in Recruitment.In return for your hard work and effort you will receive excellent training, mentoring and support from an experienced highly skilled team. You will be paid £200 – £250 per week during your Apprenticeship and this will increase in line with your development. You’ll have a generous holiday entitlement and great benefits.UCM Education specialize in placing Teachers and support Staff in schools and nurseries throughout the UK. Due to the number if applications we receive for job posts we can not contact all unsuccessful applicants.If this sounds like a good fit for you then please apply here or send your CV across to kathrynnicol@ucmrecruitment.co.uk"
