Job Title,Job Url,Company,Location,Summary,Posting Date,Desc
"Barista - Store# 12186, BRENT CROSS - SHOPPI",http://www.indeed.com/rc/clk?jk=8c4f0e3f641b229a&fccid=a88e611ddef97571&vjs=3,Starbucks,London,Maintains a calm demeanor during periods of high volume or unusual events to keep store operating to standard and to set a positive example for the shift team.,30+ days ago,"This position contributes to Starbucks success by providing legendary customer service to all customers. This job creates the Starbucks Experience for our customers by providing customers with prompt service, quality beverages and products, and maintaining a clean and comfortable store environment. Models and acts in accordance with Starbucks guiding principles.Summary of Key ResponsibilitiesResponsibilities and essential job functions include but are not limited to the following behaviours:Achieving ResultsMaintains a calm demeanor during periods of high volume or unusual events to keep store operating to standard and to set a positive example for the shift team.Anticipates customer and store needs by constantly evaluating environment and customers for cues.Communicates information to manager so that the team can respond as necessary to create the Third Place environment during each shift.Delivers legendary customer service to all customers by acting with a customer comes first attitude and connecting with the customer.Discovers and responds to customer needs.Follows Starbucks operational policies and procedures, including those for cash handling and safety and security, to ensure the safety of all partners during each shift.Maintains a clean and organized workspace so that partners can locate resources and product as needed.Provides quality beverages, whole bean, and food products consistently for all customers by adhering to all recipe and presentation standards.Follows health, safety and sanitation guidelines for all products.Maintains regular and punctual attendance.Helping Others SucceedAssists with new partner training by positively reinforcing successful performance and giving respectful and encouraging coaching as needed.Contributes to positive team environment by recognizing alarms or changes in partner morale and performance and communicating them to the store manager.Recognizes and reinforces individual and team accomplishments by using existing organizational methods.Living Our Mission & ValuesActs with integrity, honesty and knowledge that promote the culture, values and mission of Starbucks.Experience & Qualifications:No previous experience requiredMaintain regular and consistent attendance and punctualityAvailable to work flexible hours that may include early mornings, evenings, weekends, nights and/or holidaysMeet store operating policies and standards, including providing quality beverages and food products, cash handling and store safety and securityJob Number: 180002010"
Barista,http://www.indeed.com/rc/clk?jk=d372046e222da603&fccid=f43bf4fc8b730965&vjs=3,Caravan Restaurants,London,"Display excellent communication skills between customers, staff and managers.
Happily assist staff from other departments when requested and where able.",30+ days ago,"We’re looking for experienced, efficient, consistent & friendly people to join our team as baristas.Experience in a similar role is essential.You will be expected to provide and maintain outstanding customer service and attention to detail at all times, ensuring all guests are provided with complete hospitality throughout their experience.Have excellent knowledge, command and understanding for making coffee.Display excellent communication skills between customers, staff and managers.Duties & ResponsibilitiesEnsure all takeaway and restaurant coffee orders are made to excellent standards and within agreed wait times, at all timesHave an excellent understanding of Caravan’s food and drinks menus.Provide and maintain outstanding customer service, including attention to detail, efficiency, quality and product knowledge.Ensure clean and efficient daily set-up, pack down and the correct stock and equipment are in place for each service.Ensure all daily tasks are carried out each day.Happily assist staff from other departments when requested and where able.Ensure the workstation is clean and tidy at all times.Deal with customers in a friendly, warm, courteous, and professional way at all times.Multi-task in a fast paced environment.Maintain a clean working environment.Constantly exceed expectations with fun and friendly customer service.Happily assist staff from other departments when requested and where able.Represent Caravan and its interests in the best possible light, at all times.(This list is not exhaustive)Salary / Hourly rateCommensurate with experienceSend a CV and covering letter to: work@caravanrestaurants.co.uk"
Barista and all rounder,http://www.indeed.com/company/Waft-Coffee/jobs/Barista-Rounder-2f97573e456ad849?fccid=f2aab51fa51f6f97&vjs=3,Waft Coffee,London,"Making coffee, getting orders, serving food, cleaning work environment.
Job Types: Full-time, Part-time, Contract.
Customer service: 1 year (Preferred).",23 days ago,"making coffee, getting orders, serving food, cleaning work environmentJob Types: Full-time, Part-time, ContractSalary: £9.00-£10.00 per hourBenefits:Discounted or free foodEmployee discountFlexible scheduleSchedule:Day shiftExperience:Customer service: 1 year (Preferred)Hospitality: 1 year (Preferred)Location:London W4 1PD (Preferred)Work remotely:No"
"Barista - Store# 12437, MAIDA VALE - RANDOLF",http://www.indeed.com/rc/clk?jk=48ed446bcf819706&fccid=a88e611ddef97571&vjs=3,Starbucks,London,Maintains a calm demeanor during periods of high volume or unusual events to keep store operating to standard and to set a positive example for the shift team.,30+ days ago,"This position contributes to Starbucks success by providing legendary customer service to all customers. This job creates the Starbucks Experience for our customers by providing customers with prompt service, quality beverages and products, and maintaining a clean and comfortable store environment. Models and acts in accordance with Starbucks guiding principles.Summary of Key ResponsibilitiesResponsibilities and essential job functions include but are not limited to the following behaviours:Achieving ResultsMaintains a calm demeanor during periods of high volume or unusual events to keep store operating to standard and to set a positive example for the shift team.Anticipates customer and store needs by constantly evaluating environment and customers for cues.Communicates information to manager so that the team can respond as necessary to create the Third Place environment during each shift.Delivers legendary customer service to all customers by acting with a customer comes first attitude and connecting with the customer.Discovers and responds to customer needs.Follows Starbucks operational policies and procedures, including those for cash handling and safety and security, to ensure the safety of all partners during each shift.Maintains a clean and organized workspace so that partners can locate resources and product as needed.Provides quality beverages, whole bean, and food products consistently for all customers by adhering to all recipe and presentation standards.Follows health, safety and sanitation guidelines for all products.Maintains regular and punctual attendance.Helping Others SucceedAssists with new partner training by positively reinforcing successful performance and giving respectful and encouraging coaching as needed.Contributes to positive team environment by recognizing alarms or changes in partner morale and performance and communicating them to the store manager.Recognizes and reinforces individual and team accomplishments by using existing organizational methods.Living Our Mission & ValuesActs with integrity, honesty and knowledge that promote the culture, values and mission of Starbucks.Experience & Qualifications:No previous experience requiredMaintain regular and consistent attendance and punctualityAvailable to work flexible hours that may include early mornings, evenings, weekends, nights and/or holidaysMeet store operating policies and standards, including providing quality beverages and food products, cash handling and store safety and securityJob Number: 180002200"
"Barista - Store# 12157, GREENWICH - CUTTY SA",http://www.indeed.com/rc/clk?jk=c828c7fbac73ae32&fccid=a88e611ddef97571&vjs=3,Starbucks,London,Maintains a calm demeanor during periods of high volume or unusual events to keep store operating to standard and to set a positive example for the shift team.,30+ days ago,"This position contributes to Starbucks success by providing legendary customer service to all customers. This job creates the Starbucks Experience for our customers by providing customers with prompt service, quality beverages and products, and maintaining a clean and comfortable store environment. Models and acts in accordance with Starbucks guiding principles.Summary of Key ResponsibilitiesResponsibilities and essential job functions include but are not limited to the following behaviours:Achieving ResultsMaintains a calm demeanor during periods of high volume or unusual events to keep store operating to standard and to set a positive example for the shift team.Anticipates customer and store needs by constantly evaluating environment and customers for cues.Communicates information to manager so that the team can respond as necessary to create the Third Place environment during each shift.Delivers legendary customer service to all customers by acting with a customer comes first attitude and connecting with the customer.Discovers and responds to customer needs.Follows Starbucks operational policies and procedures, including those for cash handling and safety and security, to ensure the safety of all partners during each shift.Maintains a clean and organized workspace so that partners can locate resources and product as needed.Provides quality beverages, whole bean, and food products consistently for all customers by adhering to all recipe and presentation standards.Follows health, safety and sanitation guidelines for all products.Maintains regular and punctual attendance.Helping Others SucceedAssists with new partner training by positively reinforcing successful performance and giving respectful and encouraging coaching as needed.Contributes to positive team environment by recognizing alarms or changes in partner morale and performance and communicating them to the store manager.Recognizes and reinforces individual and team accomplishments by using existing organizational methods.Living Our Mission & ValuesActs with integrity, honesty and knowledge that promote the culture, values and mission of Starbucks.Experience & Qualifications:No previous experience requiredMaintain regular and consistent attendance and punctualityAvailable to work flexible hours that may include early mornings, evenings, weekends, nights and/or holidaysMeet store operating policies and standards, including providing quality beverages and food products, cash handling and store safety and securityJob Number: 180001976"
"Barista - Store# 12204, KENSINGTON - GLOUCES",http://www.indeed.com/rc/clk?jk=4beb204db88904a7&fccid=a88e611ddef97571&vjs=3,Starbucks,London,Maintains a calm demeanor during periods of high volume or unusual events to keep store operating to standard and to set a positive example for the shift team.,30+ days ago,"This position contributes to Starbucks success by providing legendary customer service to all customers. This job creates the Starbucks Experience for our customers by providing customers with prompt service, quality beverages and products, and maintaining a clean and comfortable store environment. Models and acts in accordance with Starbucks guiding principles.Summary of Key ResponsibilitiesResponsibilities and essential job functions include but are not limited to the following behaviours:Achieving ResultsMaintains a calm demeanor during periods of high volume or unusual events to keep store operating to standard and to set a positive example for the shift team.Anticipates customer and store needs by constantly evaluating environment and customers for cues.Communicates information to manager so that the team can respond as necessary to create the Third Place environment during each shift.Delivers legendary customer service to all customers by acting with a customer comes first attitude and connecting with the customer.Discovers and responds to customer needs.Follows Starbucks operational policies and procedures, including those for cash handling and safety and security, to ensure the safety of all partners during each shift.Maintains a clean and organized workspace so that partners can locate resources and product as needed.Provides quality beverages, whole bean, and food products consistently for all customers by adhering to all recipe and presentation standards.Follows health, safety and sanitation guidelines for all products.Maintains regular and punctual attendance.Helping Others SucceedAssists with new partner training by positively reinforcing successful performance and giving respectful and encouraging coaching as needed.Contributes to positive team environment by recognizing alarms or changes in partner morale and performance and communicating them to the store manager.Recognizes and reinforces individual and team accomplishments by using existing organizational methods.Living Our Mission & ValuesActs with integrity, honesty and knowledge that promote the culture, values and mission of Starbucks.Experience & Qualifications:No previous experience requiredMaintain regular and consistent attendance and punctualityAvailable to work flexible hours that may include early mornings, evenings, weekends, nights and/or holidaysMeet store operating policies and standards, including providing quality beverages and food products, cash handling and store safety and securityJob Number: 180002030"
"Barista - Store# 12401, ISLINGTON - HIGH STR",http://www.indeed.com/rc/clk?jk=9c2e7f92e054209b&fccid=a88e611ddef97571&vjs=3,Starbucks,London,Maintains a calm demeanor during periods of high volume or unusual events to keep store operating to standard and to set a positive example for the shift team.,30+ days ago,"This position contributes to Starbucks success by providing legendary customer service to all customers. This job creates the Starbucks Experience for our customers by providing customers with prompt service, quality beverages and products, and maintaining a clean and comfortable store environment. Models and acts in accordance with Starbucks guiding principles.Summary of Key ResponsibilitiesResponsibilities and essential job functions include but are not limited to the following behaviours:Achieving ResultsMaintains a calm demeanor during periods of high volume or unusual events to keep store operating to standard and to set a positive example for the shift team.Anticipates customer and store needs by constantly evaluating environment and customers for cues.Communicates information to manager so that the team can respond as necessary to create the Third Place environment during each shift.Delivers legendary customer service to all customers by acting with a customer comes first attitude and connecting with the customer.Discovers and responds to customer needs.Follows Starbucks operational policies and procedures, including those for cash handling and safety and security, to ensure the safety of all partners during each shift.Maintains a clean and organized workspace so that partners can locate resources and product as needed.Provides quality beverages, whole bean, and food products consistently for all customers by adhering to all recipe and presentation standards.Follows health, safety and sanitation guidelines for all products.Maintains regular and punctual attendance.Helping Others SucceedAssists with new partner training by positively reinforcing successful performance and giving respectful and encouraging coaching as needed.Contributes to positive team environment by recognizing alarms or changes in partner morale and performance and communicating them to the store manager.Recognizes and reinforces individual and team accomplishments by using existing organizational methods.Living Our Mission & ValuesActs with integrity, honesty and knowledge that promote the culture, values and mission of Starbucks.Experience & Qualifications:No previous experience requiredMaintain regular and consistent attendance and punctualityAvailable to work flexible hours that may include early mornings, evenings, weekends, nights and/or holidaysMeet store operating policies and standards, including providing quality beverages and food products, cash handling and store safety and securityJob Number: 180002172"
Barista/All Rounder,http://www.indeed.com/company/Boulangerie-Bon-Matin/jobs/Barista-Rounder-10947e15f48fcdcc?fccid=a0b028d69d0280e0&vjs=3,Boulangerie Bon Matin,North London,"Professional barista training on and off site.
Previous barista experience is required - needs to be able to differentiate between different coffees.",8 days ago,"Responsibilities and DutiesWe are looking for a full time enthusiastic and passionate Barista to join our independent coffee shop and bakery. We currently have branches in Hampstead and Finsbury Park. We are working on developing and promoting our brand and are looking for someone with excellent customer service skills, who is looking to grow and progress with us. We require candidates with good organisation, professionalism and a great big smile!RequirementsMust be able to work Saturday and SundayPrevious barista experience is required - needs to be able to differentiate between different coffeesFull availability neededResponsibilities and DutiesFriendly customer servicePromoting salesTable serviceMaintaining cleanliness and hygieneCoffee makingQualifications and SkillsBarista skillsWaitressing experienceTraining other members of staffBenefitsDelicious staff foodAll tips go to staffDay time hours onlyNo doublesProfessional barista training on and off siteFriendly teamJob Types: Full-time, ContractSchedule:WeekendsExperience:customer service: 1 year (Required)Barista: 1 year (Required)Hospitality: 1 year (Required)Location:North London, Greater London (Preferred)Language:English (Required)Work remotely:No"
"Barista - Store# 12884, WOOLWICH - POWIS STR",http://www.indeed.com/rc/clk?jk=ac32af5312462126&fccid=a88e611ddef97571&vjs=3,Starbucks,London,Maintains a calm demeanor during periods of high volume or unusual events to keep store operating to standard and to set a positive example for the shift team.,30+ days ago,"This position contributes to Starbucks success by providing legendary customer service to all customers. This job creates the Starbucks Experience for our customers by providing customers with prompt service, quality beverages and products, and maintaining a clean and comfortable store environment. Models and acts in accordance with Starbucks guiding principles.Summary of Key ResponsibilitiesResponsibilities and essential job functions include but are not limited to the following behaviours:Achieving ResultsMaintains a calm demeanor during periods of high volume or unusual events to keep store operating to standard and to set a positive example for the shift team.Anticipates customer and store needs by constantly evaluating environment and customers for cues.Communicates information to manager so that the team can respond as necessary to create the Third Place environment during each shift.Delivers legendary customer service to all customers by acting with a customer comes first attitude and connecting with the customer.Discovers and responds to customer needs.Follows Starbucks operational policies and procedures, including those for cash handling and safety and security, to ensure the safety of all partners during each shift.Maintains a clean and organized workspace so that partners can locate resources and product as needed.Provides quality beverages, whole bean, and food products consistently for all customers by adhering to all recipe and presentation standards.Follows health, safety and sanitation guidelines for all products.Maintains regular and punctual attendance.Helping Others SucceedAssists with new partner training by positively reinforcing successful performance and giving respectful and encouraging coaching as needed.Contributes to positive team environment by recognizing alarms or changes in partner morale and performance and communicating them to the store manager.Recognizes and reinforces individual and team accomplishments by using existing organizational methods.Living Our Mission & ValuesActs with integrity, honesty and knowledge that promote the culture, values and mission of Starbucks.Experience & Qualifications:No previous experience requiredMaintain regular and consistent attendance and punctualityAvailable to work flexible hours that may include early mornings, evenings, weekends, nights and/or holidaysMeet store operating policies and standards, including providing quality beverages and food products, cash handling and store safety and securityJob Number: 180002392"
"Barista - Store# 12663, THE GALLERY - BANKSI",http://www.indeed.com/rc/clk?jk=96d7016d8f09db09&fccid=a88e611ddef97571&vjs=3,Starbucks,London,Maintains a calm demeanor during periods of high volume or unusual events to keep store operating to standard and to set a positive example for the shift team.,30+ days ago,"This position contributes to Starbucks success by providing legendary customer service to all customers. This job creates the Starbucks Experience for our customers by providing customers with prompt service, quality beverages and products, and maintaining a clean and comfortable store environment. Models and acts in accordance with Starbucks guiding principles.Summary of Key ResponsibilitiesResponsibilities and essential job functions include but are not limited to the following behaviours:Achieving ResultsMaintains a calm demeanor during periods of high volume or unusual events to keep store operating to standard and to set a positive example for the shift team.Anticipates customer and store needs by constantly evaluating environment and customers for cues.Communicates information to manager so that the team can respond as necessary to create the Third Place environment during each shift.Delivers legendary customer service to all customers by acting with a customer comes first attitude and connecting with the customer.Discovers and responds to customer needs.Follows Starbucks operational policies and procedures, including those for cash handling and safety and security, to ensure the safety of all partners during each shift.Maintains a clean and organized workspace so that partners can locate resources and product as needed.Provides quality beverages, whole bean, and food products consistently for all customers by adhering to all recipe and presentation standards.Follows health, safety and sanitation guidelines for all products.Maintains regular and punctual attendance.Helping Others SucceedAssists with new partner training by positively reinforcing successful performance and giving respectful and encouraging coaching as needed.Contributes to positive team environment by recognizing alarms or changes in partner morale and performance and communicating them to the store manager.Recognizes and reinforces individual and team accomplishments by using existing organizational methods.Living Our Mission & ValuesActs with integrity, honesty and knowledge that promote the culture, values and mission of Starbucks.Experience & Qualifications:No previous experience requiredMaintain regular and consistent attendance and punctualityAvailable to work flexible hours that may include early mornings, evenings, weekends, nights and/or holidaysMeet store operating policies and standards, including providing quality beverages and food products, cash handling and store safety and securityJob Number: 180002302"
