Job Title,Job Url,Company,Location,Summary,Posting Date,Desc
Night Cleaner - North Middlesex Hospital,http://www.indeed.com/rc/clk?jk=e666ee6364ead389&fccid=ea017ea78e7d8b27&vjs=3,Compass Group UK & Ireland,Edmonton,"High and low dusting, mopping, wiping and scrubbing surfaces.
Cleaning of wards, side rooms, toilets, showers, infected and public areas.",Just posted,"Are you looking for a new challenge? For a rewarding job where you have the opportunity to make a real difference? Would you like to contribute to the greater good of the healthcare field? If so then we would love to hear from you!A new opportunity has arisen for a Cleaner to join the Medirest family. We are looking for new members to join our highly dedicated team, who deliver outstanding cleaning services for patients, visitors and staff of the hospital.As a Cleaner, you will play a vital role in infection control that is needed to keep the hospital operating and doing what it does best. Without the cleaners the hospital wouldn’t be able to deliver its lifechanging medical services. Believe us when we say, this isn’t just “any cleaning job”, this is a cleaning job which will make a real difference.ResponsibilitiesCleanerHigh and low dusting, mopping, wiping and scrubbing surfaces.Cleaning of wards, side rooms, toilets, showers, infected and public areas.Ensure rubbish bins are maintained and removed when full.Maintain high hospital standards by ensuring all areas are clean, presentable and safe for visitors by following the required policies and procedures.Use equipment in accordance with the role following all Health & Safety guidelines.Ideal CandidateCleanerPassionate about patient care, with the ability to communicate effectively with patients, visitors and healthcare staff.Able to work under pressure, individually and as part of a team with a flexible approach to meet the needs of the business.Confident working in a hospital environment and aware at times you will come in contact with patients that are particularly unwell or showing signs of distress.It doesn’t matter if you’ve never worked as a Cleaner before. What does matter to us the most, is taking pride in what you do and a willingness to learn and go the extra mile for our patients.This position is subject to a Disclosure & Baring Service check; costs met by the employer.Package DetailsCleaner£9.20 per hour, 35 hours per weekCompass exclusive offers on PerksAtWorkAccess to a wide range of programs to train and develop youPension contributionWednesday - Sunday 10pm - 6amAbout UsAs part of Compass, you have the opportunity to work behind the scenes at sports and leisure events, oilrigs and military bases, and in the heart of schools, hospitals, care homes, client offices and boardrooms – some 6,000+ locations across the UK and Ireland.We do it all and so could you. Apply now and join the family!We are an equal opportunity employer; we celebrate diversity and are committed to building an inclusive environment for all employees.Medirest is part of Compass Group UK & Ireland, who provide a full range of Hotel Services (including staff, patient and visitors catering, domestics, portering and security) at over 130 NHS Trust and private hospitals.Please note that we reserve the right to remove this advert prior to the advertised date, dependent on the level of response received. You are therefore advised to apply at your earliest convenience."
Hygiene Services Assistant (Cleaner) Zero Hours,http://www.indeed.com/rc/clk?jk=c9c0fbfb5b743721&fccid=e5bf976aad00966d&vjs=3,Ealing Council,London,"Zero hours flexible times: £12.42 per hour.
Flexible hours available Monday to Friday between 8am to 8pm.
The role is to clean to a high standard, and help in…",Today,"Job descriptionHYGIENE SERVICES ASSISTANTSZero hours flexible times: £12.42 per hourFlexible hours available Monday to Friday between 8am to 8pmIf you are hard working, able to work quickly and are flexible then this job is for you. Positions are to start as soon as possible.The role is to clean to a high standard, and help in Health and Safety awareness. You must have good spoken English skills, experience of cleaning in a workplace, be organised and have good time keeping.Flexible Hours are available between 8am and 8pm to cover absences etc. You will be £12.42 per hour which includes holiday pay.We can offer you free on-site parking, free use of the gym and family friendly policies including dependents entitlement.Shortlisted candidates will be invited to interview at the Academy where strict COVID safe measures will be in place including masks being worn at all times, regular hand washing and social distancing.Please visit the ‘Our Academy – Vacancies’ section of our website for more information and an application form: www.alecreedacademy.co.uk.Closing date for completed applications: Tuesday 26th January 2021 at 12am.ARA is committed to the protection and safety of our learners. The successful applicant will be required to undertake an enhanced criminal record check via the Disclosure and Barring Service prior to commencing the role.Alec Reed Academy Bengarth Road Northolt Middlesex UB5 5LQEmail : hr@alecreedacademy.co.uk"
Cleaner,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DJrOQoYw-K5ig2BFTdGBlk6zVl2vvheHeYRSE9sKC8bc2GbouUbIcXej3uYfg7549F4z2vHuTCe9Qxl5ty3dULkCDtdSeXQ_gVOfat-nTsniRImmXTPT3ghlQrNh_kCgqYIuVdmfQHABIkGARuDQhGD0rjJHWiRP_q_YHDm2QAMV2ypN3-p6vZXe9nlm4hMQ4nUBw8bY5G9kn7LjZwAPfRXFulkUhmg8SPzVm4MEV7_OiQ5Ti2i7hVGT5_lNx82tPzIKMrL-d5wZ78TG3npAUVGhk27kERGKLs55XUzx4Nh9wH_7DmTgFsQvhtMy5JXr-ShRwex1wYYgjtXP6k2sr0ptoOObZjWLOrTz536iTAjIeGsTtCpmqJpGpVT5SU2vThljrf-RqF_Iw55qWQHgYuat0qL4mfHFrHfDRepyRjs-WsZJs4ZYzaqVwBvlWaXj3BttnSl83h8BiaHthCo9Twg23s-zlf6_06gp7e9Ve0JKoFV4paqPeK&p=2&fvj=0&vjs=3,The Best Connection Employment Group,London,"Contract Type: Temporary, Full time.
DOMESTIC ASSISTANT - CENTRAL LONDON - At the beginning £8.75 per hour.
We are recruiting full time Domestic Assistants to…",8 days ago,"Job Reference: ECNHDA009Location: LondonSalary: £8.75-10.75 per hourHigher pay rate is achieved by: After working 12 continuous weeksContract Type: Temporary, Full timeDOMESTIC ASSISTANT - CENTRAL LONDON - At the beginning £8.75 per hour, after 12 weeks will rise to £10.75 per hour - IMMEDIATE STARTWe are recruiting full time Domestic Assistants to work in a Hospital in Central London.Excellent opportunity for ongoing or permanent work,Working hours are: 5/6 days. 07:00-16:00 / 14:00-22:00 / 22:00-06:00 Monday to Sunday.Duties include:To be responsible for the effective cleaning and maintenance of all hygiene standards within a designated area/service and all of its facilities.To be responsible for utilising safely mechanical and electrical cleaning equipment.To be responsible for the collection and safe removal of paper waste within your area/service of work.Responsible for the safe storage and maintenance of stock and supplies to ensure that these are available within the designated area/service.It is everyone’s responsibility to be aware of infection control procedures and to carry out relevant trainingWe are offering:Permanent position availableUniforms providedOn site restaurantExcellent facilitiesPaid holidayWeekly payApplicants must be able to provide 3 years referencing, this is essential!All applicants will be DBS (criminal record) checked.ADDITIONAL BENEFITS & REQUIREMENTS28 days Paid Annual Leave pro-rata for PAYE (inclusive of statutory holiday)CanteenHourly rate as above (not age dependent)Possible permanent position following a successful trial periodWeekend WorkApply for this position by sending your up-to-date CV"
Cleaner Assistant,http://www.indeed.com/rc/clk?jk=4ddc77a4565b77fb&fccid=ad1853eb87659caf&vjs=3,APCOA PARKING (UK) LTD.,London,"Cleaning the premises on a daily basis.
Cleaning the premiseson a daily basis to ensure every part of the building, offices and site are thoroughlycleaned.",16 days ago,"About The RoleCleaning the premises on a daily basisWhat you’ll doCleaning the premiseson a daily basis to ensure every part of the building, offices and site are thoroughlycleaned. Maintaining high-qualitycleaning standards and minimising COVID-19 transmission risk. Must haveknowledge of COSHH and safe working procedures. Must be flexible to cover thevarious shifts between 6 am to 8 pm Monday to Saturday and willing to workovertime as and when required.What we’ll offer you40 hours per week- various shifts between 6am and 8pm£22,360 per annum"
House Cleaner (self-employed),http://www.indeed.com/company/Domestic-Home-Cleaners/jobs/House-Cleaner-65db874f3025bc53?fccid=1f4033a9fce88190&vjs=3,Cleaning Express,London,"This job is self-employed, so you will need to register with HMRC if you are not registered already.
Full-time or part-time.
No penalties or registration fees.",1 day ago,"Domestic cleaners needed to work in East London, South East London and North London.Full-time or part-time. You can work as many hours you want.Enthusiastic, friendly staff are required to work as cleaners in South East, East, Central, and North London. Our office is located in Woolwich Arsenal.You will be paid £10-12 per hour mostly in cash, but some customers will pay to your bank account.Why work for us?Choose your own hours and holidaysWork close to your homeHave stable regular customers & houses, weekly or fortnightlyReceive most payments in cash after each sessionNo need to pay for cleaning materials, equipment, uniform for regular customersNo deposits for keys. No penalties or registration fees.No difficult apps to work with. We call you or send a text.You have a direct number to call us if you have any problems.Receive positive feedback from our happy customers.Free training may be provided to the right candidates.Immediate startThis job is self-employed, so you will need to register with HMRC if you are not registered already.Job Types: Full-time, Part-time, Temporary, PermanentSalary: £10.00-£12.00 per hourSchedule:Monday to FridayExperience:cleaning: 1 year (Preferred)Flexible Working Options Available:Part-timeWork remotely:No"
Train Cleaning Operative - London NP,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AMX4hWubLWUG5i2Z7qBzVJZHz05uhGBfKz6TfC7KtcxZ9BfjczyuOKi1Q2CC_aS6ITzWLAJ0-tapJYl3wwHIknqMt15kue1qNAb-8-5_ar_vANZYYAKAzvtSjIUQRaTTkXwDVAM5RSy2DTPIC7GE0mlimi99MtH4o4DNqQ22zc1ZNqeqYMHZgQtOUIvjMQHo_MkcArkRBOR8Hr3zOqmgeFqEmOA9SvryYZ2Aj5nx6RyafCcDgsUOK61KC0x3DFL-bmbwsWQKXljeJJc3N3J-acEPJJ6p_izlf19rT1id8VEtRlUBF9WpMKyym3jvrP433qrPgGuQDYSUeQI-BhIU2fdL0L4oeIuxhqbBESSeS9T6PGr9JJwc6LAIebo4HUgE6TA7nflB9mTzSs5r8gK0pTkMGyBy1yROH5mqh1Dre4q_nOQes8v9fKrVLOkW0vWPFrDxxUw4RxH37si431o6VV&p=5&fvj=1&vjs=3,Bespoke Facilities Management Ltd,London,"We are looking for experienced cleaning operatives to work on a prestigious Contract located in London MITRE WAY LONDON, W10 6AU.",Today,"We are looking for experienced cleaning operatives to work on a prestigious Contract located in London MITRE WAY LONDON, W10 6AUThe role is working on a train maintenance centre, cleaning trains. The role is a fast paced position that is very demanding as we work to very strict guidelines and time frames to ensure that the trains are cleaned to the high standards required. The role is physically demanding. You and your team will work with your supervisor to ensure that targets are met whilst working safety and efficiently at all times.You will be working a 4 on 4 off shift pattern covering 7 days a week.The shifts are 20:00 to 06:00The average weekly hours are 35 hours per weekPay Rate: £11.75 per hourThe site is operational 365 days per year and therefore you will be required to work bank holidays should your shift pattern reflect this.Overtime paid at standard rate is available but not compulsoryFull uniform and PPE will be provided.Full Induction training will be provided prior to starting work.Previous train cleaning experience would be beneficial but not essential.Full vetting, Medicals and drugs and alcohol testing will be carried out. Please note that failing the drugs and alcohol test or not meeting the required medical level may result in your contract being terminated due to Rail requirements and the health and safety of you and others.MUST BE OVER 18This role may change to a permanent contract subject to client satisfactionReference ID: HRE NORTH POLE RSContract length: 2 monthsJob Types: Full-time, Temporary, ContractSalary: £11.75 per year"
Temporary Cleaner required,http://www.indeed.com/company/JPM-Commercial-Cleaning-Services/jobs/Temporary-Cleaner-3a1940efcd0dd7e6?fccid=c018d190af97ceca&vjs=3,JPM Contract Cleaners,London,"Temporary cleaners needed in the London SE16 area, due to start week commencing 4/1/21 till 03/2/21.
Monday till Friday, 50/60 hrs per week.",28 days ago,"Temporary cleaners needed in the London SE16 area, due to start week commencing 4/1/21 till 03/2/21.Monday till Friday, 50/60 hrs per week. £10.75 ph.Shift 1:7am-7pmShift 2:3am-12pmWe will provide full training and a uniformIf you are invited for an interview you will need to bring the following documentation: -Proof ID (Passport or Full Birth Certificate)-Proof of Address-Proof of National Insurance Number (Card or Government letter/payslipJob Types: Full-time, TemporarySalary: £10.75 per hourSchedule:12 hour shiftDay shiftNight shiftWork remotely:No"
Station Cleaner - Driver,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CjbXyhrGhYfALSL3w00g8-pRV3hM5WDzf_BzL_8UtAj_LT-bfcevqSqOBFLKa_vKPq3_69LPSXjG_isMCOr69cewnLHY5xaXYvH2gRzH3D0QvcMsiwrBCb2U-iafpv7gFawXw7juyVW7tFunCM2LE0abnvc6yFCAN0C4QffbuKg-3f4t0DiI2NbUQ8sXdlZG8VEsJPTg8FTnct-_gc6m4Q1ubZBPHlYocACnMRck5leRaR9p4CA8nFiH1wwBk7u4I65ThiAyg2ZGcaWOxon5A8kt-ZKRvN-dZuot9Cn33HNqAX6HJOBqFaQ8_ERqqM7COoKFgDmsQS8kJ_yo4us9NEPxhIqVwYLoNUfXrppEnvPVeZNCw-NKTDtl584NdOld6kANxK9bEMj_rLmv-YD0ivPxk-mOzyQAVvdUv5ztgRapEOgiPiCWme__kIytj1dZ8=&p=7&fvj=1&vjs=3,AGS Support Services,London,"Ensure the station or platform is cleaned to the required standard.
Understand and comply fully with documents and instructions issued.",2 days ago,"Job title:  Station Cleaning OperativesContract:  Temporary ContractSalary: £10.75phShift times:  7:00 - 15:00 / 15:00 - 23:00Immediate start available!! Good rate of pay!We are recruiting for Cleaners to join us and work for one of our major Clients at various locations on the London Underground network. All shortlisted candidates will be contacted within 7 days of applying for the position due to the high volume of applications.Key ResponsibilitiesEnsure the station or platform is cleaned to the required standardHooveringMoppingClearing up spillagesLitter pickingWaste clearanceUnderstand and comply fully with documents and instructions issuedWear correct PPE as directed and only use the equipment which is supplied.Ensure your PPE and equipment are maintained and report any defects or damage, so it can be repaired or replacedCredentials/Training & Experience requiredSentinel Card (ICI Assessment) - RequiredPrevious cleaning experience is preferredA positive, professional outlook and a real ‘can do’ attitudeYou should be able to work alone or within a small teamAbout usAGS Support Services is a specialist agency where many different services and products are available. This includes the provision of Temporary and Permanent placements, as well as in-house training. We provide a One-Stop-Shop for our Candidates and Clients. Our recruitment services range from within the transport industry, local authorities and large blue-chip clients across the private sector.Our bespoke and agile approach to supply and our in-depth knowledge and understanding of client needs, allows us to continually exceed their demands and expectations. Our stringent recruitment and selection process and on-going compliance ensures a consistent, committed and high-quality client supply that is also the ‘best in the business’.Job Types: Full-time, Temporary, PermanentSalary: £10.75 per hourLicence:UK Driving licence (Required)"
COVID-19 Cleaner/ Deep Cleaning Operative,http://www.indeed.com/company/WCS/jobs/Covid-Cleaner-0a5b0b87a648359d?fccid=934189ea76553510&vjs=3,WCS,London,"Emergency Response Cleaning in Hospitals and Health Centres.
Hard floor cleaning including stripping and polishing.
Candidates must speak good English.",Today,"We are a cleaning company looking for a motivated, reliable and experienced deep cleaning operative with that extra attention to detail to join one of our mobile cleaning teams.Your duties will include:Deep CleaningCOVID Deep CleaningEmergency Response Cleaning in Hospitals and Health CentresCarpet CleaningHard floor cleaning including stripping and polishingKitchen Deep CleaningTo succeed in this role, you will need:Good attention to detailAbility to work independently and use initiativeTo be reliable, responsible with a flexible approach to workSalary: £11.00 per hour2 Weekly payYou will be required to use heavy duty cleaning equipmentExperience in this role is essential however some training will be givenWorking hour's variable: Monday - SundayTHIS ROLE IS FOR NIGHT AND DAY SHIFTS (VARIABLE HOURS)Candidates must speak good EnglishTo apply please call 0330 380 4433Job Types: Full-time, PermanentSalary: Up to £11.00 per hourExperience:Deep Cleaning: 1 year (Required)Location:London N4 (Preferred)Licence:Driving licence (Required)DBS Certificate (Preferred)"
Cleaner (11 to 20 hours),http://www.indeed.com/rc/clk?jk=5eb88bef5048c8ff&fccid=14b7c83f2c02772e&vjs=3,Lidl,Ilford,"Maintain the outside cleanliness and tidiness of the store e.g. trolley bays and the car park.
We're proud to offer a competitive hourly rate from £10.75 up to …",Just posted,"£10.75 up to £11.05 per hour * (pro rata). Part time hours are between 10 - 30 hours. Full time hours are between 31 - 40 hours.This isn’t daily chores. This is taking pride in a spotless store.For our cleaners, every sweep of the brush is a step towards perfecting the customer experience. Working a couple of hours per day, usually in the mornings, you’ll make sure that the store is clean, tidy and safe to move around, both on and off the shop floor. There’s a lot to do, but if you’re someone who likes to roll up their sleeves and get stuck in, this could be the role for you.Our cleaners are an essential part of our store teams. They are relied upon to ensure both customer facing areas and employee areas are clean and tidy. Find out more below and apply for a career a Lidl less ordinary.What you'll doMaintain a clean and tidy store, focusing on customer-facing areasMaintain the outside cleanliness and tidiness of the store e.g. trolley bays and the car parkClean the warehouse area including the waste and recycling sectionsOperate industrial cleaning machineryCarry out minor maintenance tasks and report any major requirements to your managerEnsuring hygiene and health and safety standards are applied for customers and employeesWhat you'll needPrevious cleaning or maintenance experience is beneficial but not essentialA hands-on approach to your work and a keen eye for detailThe ability to carry out your tasks independentlyMotivation to do the best job for your store and your teamWhat you'll receiveThis isn't getting by. This is getting what you deserve. Working at Lidl is rewarding, in every sense, because we give you the training to succeed in your role and plenty of opportunities to progress your career here. We're proud to offer a competitive hourly rate from £10.75 up to £11.05 (*depending on experience and London weighting) with 30 days’ holiday per year (pro rata). Save for your future with our pension scheme, or save today with a 10% in store discount, plus extra discounts on days out, cinema tickets and much more.Please note your employment is conditional upon the Company's receipt of satisfactory references and if requested by the Company, a satisfactory Disclosure and Barring Service check.Disclaimer: due to the high volume of applications we receive, we reserve the right to close a vacancy earlier than the advertised date. This is to ensure our teams can manage application levels while maintaining a positive candidate experience. Once a vacancy has closed, we are unable to consider further applications, so please submit your application as soon as possible to avoid disappointment."
