Job Title,Job Url,Company,Location,Summary,Posting Date,Desc
PARCEL SORTER-STONEBRIGDE PARK,http://www.indeed.com/rc/clk?jk=ac30dcc411cdfe8e&fccid=71210ae026859a50&vjs=3,Gi Group,London,This role will require you to be flexible with working hours and to participate in manual and physical work as you will be loading and sorting items that vary…,Just posted,"Full TimeTemporaryWE ARE LOOKING FOR HARD WORKING RELIABLE PARCEL SORTERS-PREVIOUS EXPERIENCE NOT ESSENTIAL.You will be working for Large National Mail CompanySeveral of shifts -Early, Late, NightThis role will require you to be flexible with working hours and to participate in manual and physical work as you will be loading and sorting items that vary in size and weight.You should enjoy working as a part of large teamMain responsibilities:Sorting parcelsLoading/Off-loadingPreparing trolleysScanning/ labelling parcelsBuilding the palletsGeneral warehouse tasksWhat is in there for you?Weekly payHoliday payDay shifts @ £8.72/hr (6am-2pm/2pm-9pm)Night shifts @£9.21/hr (10pm-6am)Good increase in pay after 12 weeks of servicePlease note a proven work or education history that covers the last 5 years is essential, as DBS will be applied for as part of the vetting processPlease apply online and we will be in touch shortlyGi Group Holdings Recruitment Limited group of companies includes Gi Recruitment Limited, Draefern Limited, Gi Group Recruitment Ltd, INTOO (UK) Limited, Marks Sattin (UK) Limited, TACK TMI UK Limited and Grafton Professional Staffing Limited. We are committed to protecting the privacy of all of our candidates and clients. Following some recent changes to data protection laws we have updated our Privacy Policy. To view a copy and to help you understand how we collect, use and process your personal data please visit the Privacy page on our Gi Group UK website.IndustrialWarehouse OperativesAO210107185099 - HounslowLondon - London£8.72 - £9.21 per hourGBP9.21per hour"
Warehouse Operative,http://www.indeed.com/company/The-Greater-Good-Fresh-Brewing-Co/jobs/Warehouse-Operative-eea03a3c12d5b514?fccid=ba1acbc407bdce61&vjs=3,The Greater Good Fresh Brewing Co,London,"Based at our warehouse in Walthamstow.
The Greater Good Fresh Brewing Co deliver fresh beer.
Assembling Pinters on the production line.",30+ days ago,"The Greater Good Fresh Brewing Co deliver fresh beer. Premium quality, brewery-fresh drinking for everyone. A revolutionary method means seamless brewery-fresh beer, how you want, when you want and without breaking the bank. We create The Pinter and we're looking for new people to join the team.Warehouse Operative Duties: Preparing materials for productionAssembling Pinters on the production linePicking stock and preparing orders for dispatchAssist in product development (e.g. preparing samples)Weekly warehouse cleaningAny other production and product development duties deemed necessaryRequirements: Dynamic, enthusiastic, and a positive attitudeAbility to work on the production line at speedAbility to work without supervisionExcellent communication and organisational skillsAbility to work to targetsOffer: £10.55 per hourMonday - Friday with two shifts available 6:30am - 2:30pm or 2:30pm - 10pmBased at our warehouse in WalthamstowJob Types: Full-time, PermanentSalary: £10.50 per hourSchedule:8 hour shiftLocation:London E17 (Preferred)Work remotely:No"
Warehouse Operative - Backshift,http://www.indeed.com/rc/clk?jk=eafe13077a0e1ba7&fccid=5b8d10630cb111eb&vjs=3,DHL Parcel UK,Slough,"Sorting parcels by postcode and placing them in the appropriate cage.
Checking details and addresses on labels to ensure that they are correctly sorted.",Just posted,"Warehouse OperativeDHL Parcel UK is one the UK’s leading integrated postal operators, delivering and collecting over 3 billion mail items and 50 million parcels per annum. As part of the Deutsche Post DHL Group, we have an extensive delivery network which covers the UK and over 220 countries. We are committed to pushing the boundaries of the postal and express parcel delivery markets and aim to be the first choice for customers.We are currently recruiting for a Warehouse Operative for one of our distribution hubs.The role involves:Sorting parcels by postcode and placing them in the appropriate cageChecking details and addresses on labels to ensure that they are correctly sortedEnsuring that parcels are handled safely to prevent damageOur warehouses are fast paced and time sensitive. The right candidate must have excellent multi-tasking skills, work well under pressure and be flexible on duties and hours for the needs of the business. Experience working within the transportation or logistics industry is beneficial."
Trade Counter/Warehouse Assistant,http://www.indeed.com/company/Ryness-Electrical-Supplies---Baron-Street/jobs/Trade-Counter-Warehouse-Assistant-8274e757e92c0234?fccid=d544ee3fbf16b19d&vjs=3,Ryness Electrical Supplies - Baron Street,Islington,"A good general electrical product knowledge would also be advantageous.
Dealing with customer queries - face to face, on the phone and via email.",8 days ago,"Company descriptionLeading Lighting & General Electrical WholesalerJob descriptionWe are looking for an enthusiastic and energetic candidate to work on our fast paced, busy trade counter and in our warehouse.A friendly and polite manner is a must and the candidate must be comfortable in speaking to a lot of different people on a daily basis. We are looking for a quick learner with good computer skills, who is able to adapt to new environments quickly.The successful candidate must be a team player and is expected to get stuck in where needed. This is includes:Dealing with customer queries - face to face, on the phone and via emailProcessing customer orders and creating quotesResponsible for re stocking shop floorGeneral branch cleanlinessPicking/Packing customer ordersGoods inwardsGeneral warehouse dutiesA willingness to learn is essential and previous retail/wholesale experience is desired.A good general electrical product knowledge would also be advantageous.Some Saturday work requiredJob Types: Full-time, PermanentSalary: £19,500.00-£23,000.00 per yearBenefits:Profit sharingSchedule:10 hour shiftCOVID-19 considerations:We've installed clear plastic barriers to protect staff and customers.We have installed a hand sanitizing station for customers and touch points are cleaned regularly.All staff and customers are required to wear masks.Work remotely:No"
Warehouse Operative,http://www.indeed.com/company/Woven/jobs/Warehouse-Operative-31cd40dbdce60887?fccid=681c8e4c36411b92&vjs=3,Woven Rugs Ltd,London,"Acknowledging delivery with the office team.
Checking rugs for damage in transit.
Evaluating and packing customer returns.
Part-time hours: 20 per week.",6 days ago,"Woven.co.uk, the trade and online rug supplier, is recruiting for a warehouse picker/packer/customer service support to work at its Poplar warehousing/office unit.The successful candidate must be happy to work on their own.The successful candidates role will include the following:-Acknowledging delivery with the office team-Repacking rugs-Checking rugs for damage in transit-Evaluating and packing customer returns-Sending pictures of damaged items and liaising with the customer service team-Attaching labels and dispatching the items-Assisting customer service team where neededPart-time hours: 20 per weekExpected start date: 04/01/2021Job Types: Full-time, Part-time, Contract, PermanentSalary: £10.00-£13.00 per hourBenefits:Casual dressFlexible scheduleOn-site parkingExperience:warehouse: 2 years (Preferred)Location:London E14 9RL (Preferred)Work remotely:No"
Storage and Warehouse Assistant,http://www.indeed.com/rc/clk?jk=5d6fffeb2f0ddf44&fccid=c084bea50c44d932&vjs=3,Mango Logistics Group,London,"Maintain an orderly & clean warehouse at all times.
Type of Contract– Permanent (Full time).
Control the movement of inbound and outbound stock.",30+ days ago,"Type of Contract– Permanent (Full time)Location: LondonDepartment: Storage and WarehouseWe are looking for someone who has experience within the fast-paced storage/warehousing industry to join our busy logistics company in Bermondsey, London.The right candidate with the right attitude has the ability to, over time, learn all areas of our business, from international couriers through to urgent same-day logistics.Key Responsibilities:Control the movement of inbound and outbound stockPick and pack client ordersRespond to customer enquiriesMaintain stock levels and stock accuracyMaintain an orderly & clean warehouse at all timesBuild strong relationships with our clientsKey Skills:Excellent verbal communication skillsExcellent eye for detail and cleanlinessA true team player ready to take the initiative and help othersExcellent time management and the ability to work to tight deadlinesProblem Solver required to solve issues decisively and independently constantlyHands-On and fit – there is a high turnover of stock in and out, so this is very much a hands-on role involving moving, organising and packaging stockHealth and safety experience – workplace safetyThis is an opportunity to join a fast-growing logistics company currently located close to Tower BridgeIf you are interested in this role, apply below.Storage and Warehouse Assistant"
Packing and Dispatch Warehouse Assistant,http://www.indeed.com/company/Builder-Depot/jobs/Packing-Dispatch-Warehouse-Assistant-4128a5380a31f2fe?fccid=9ee965538d152761&vjs=3,Builder Depot,London,"Previous warehouse experience is an advantage.
Label orders ready for dispatch via our various carrier network partners.
Job Types: Full-time, Permanent.",30+ days ago,"Summary: Builder Depot is one of the leading independent builders merchants in the UK focused predominantly on catering to the trade. We pride ourselves in offering a convenient service at the lowest possible price that is able to cater to the builders every day needs. Our Ecommerce department is steadily expanding with more customers moving to online ordering and we are looking for an energetic Order Picker in our New Southgate store to ensure the accurate and timely delivery of products.The main duties of this role will include: Pick orders throughout the store's sections/floors.Ensure the ordered items are accurately picked, based on quantity and quality requirements.Pack customers’ orders following high quality standards.Label orders ready for dispatch via our various carrier network partners.Present orders to the carriers in a presentable and logical manner (palletise).Working on shop floor when packing department is quiet.Our Ideal Packing and Dispatch Warehouse Assistant: Previous warehouse experience is an advantage.To be highly organised as this role is fast-paced.Ability to work well under pressure and to follow strict deadlines.Excellent communication skills.IT literacy and confidence in using/willingness to learn how to use fulfilment systems.The Dispatch & Packing Manager Benefits: Salary:  £18,000 - £21,000 DOEWorking hours:  07:00-16:00, Mon-Fri· Permanent position & immediately available· Company pension· Free parking on streetLocation:  New Southgate, N11Job Types: Full-time, PermanentSalary: £18,000.00-£21,000.00 per yearBenefits:Company pensionSchedule:Monday to FridayCOVID-19 considerations:To help keep you safe, we will be conducting telephone interviews for the 1st stage and then face to face interviews with social distancing for the 2nd stage.Experience:warehouse: 1 year (Required)Work remotely:No"
Warehouse Assistant,http://www.indeed.com/company/Britannia-Pharmacy/jobs/Warehouse-Assistant-ebbc315074dcd8ef?fccid=c6192524201c6a78&vjs=3,Britannia Pharmacy,Ilford,"Ideal applicant must have previous experience, ideally in a Pharmacy or Healthcare warehouse setting.
Duties will involve picking and packing orders, stock…",9 days ago,"We are seeking a Full Time Warehouse Assistant to work in our Pharmacy Warehouse in Ilford IG2. Working hours are Monday to Friday 9.00-19.00, Total 47.5 hours.Duties will involve picking and packing orders, stock checks, putting out deliveries and general warehouse duties.Ideal applicant must have previous experience, ideally in a Pharmacy or Healthcare warehouse setting. We have a small team who work together and hence it is important that you are a team player, confident, bubbly with a good sense of humour and hardworking ethics.You must have good communication and organisational skills, be able to read , write and speak English to a good level, be methodical and have a good health record.Salary depends on Experience. This is a permanent position, and we are seeking candidates seeking long term position and a career with the Company. This position would therefore require at least a 12 to 15 month commitment.To apply please send us your CV and Cover Letter in the first instance.Please kindly note that due to the high volume of applications we receive, only successful applicants will be contacted.Thank you for applying and all the best in your Job Search.Britannia Pharmacy Recruitment TeamJob Types: Full-time, PermanentSalary: £14,594.00-£25,197.00 per yearExperience:customer service: 1 year (Preferred)Location:Ilford IG2 (Preferred)Work remotely:No"
Warehouse Assistant,http://www.indeed.com/company/Fleetmill-Ltd/jobs/Warehouse-Assistant-e8bfef4f1510edb3?fccid=162a4e8275a7ac72&vjs=3,Legend Footwear,Greenford,"Picking and packing lightweight internet orders.
Proactive, punctual and able to work under pressure.
Good attention to detail and a fast learner.",24 days ago,"We have an excellent opportunity for an intelligent, hardworking and committed individual to work with a fast-growing e-commerce business in an exciting industry.The successful candidate will have a great deal of exposure to several parts of the business and will quickly be expected to take on responsibility.The role will involve: - Picking and packing lightweight internet orders.- Receiving and checking stock.- Stock takes.- Dispatching orders.- Other general duties of the warehouse.The ideal candidate will have the following qualities: - Proactive, punctual and able to work under pressure.- Good written and spoken English.- Good attention to detail and a fast learner.- Have a methodological approach to work.- Previous experience in a similar environment helpful but not essential- A positive attitude, a good work ethic.This is a full time and permanent position.The candidate must be living within a maximum 5 miles radius of our location in Greenford.Please state where you live at the moment when you apply for this vacancyJob Types: Full-time, PermanentSalary: £10.00-£11.00 per hourExperience:warehouse: 1 year (Required)Location:Greenford, Greater London (Required)Work remotely:Yes"
Warehouse Operative - to,http://www.indeed.com/rc/clk?jk=279518fcc7f37d14&fccid=71210ae026859a50&vjs=3,Gi Group,London,"2 proof of current address dated within the last 3 months.
£10.65 and after 40 hours £15.98 per hours.
Needing to be able to lift up to 25kgs!",2 days ago,"Part TimeContractWarehouse OperativeWandsworth£10.65 and after 40 hours £15.98 per hours.08:00am starts, working on a Monday to Friday basis.You will be required to sort parcels/mail from trailers coming in to the depot. Needing to be able to lift up to 25kgs!What you need:5 year referencingPassport or Birth Certificate and Proof of National Insurance.2 proof of current address dated within the last 3 months.Safety boots and Hi-VizAvailable immediatelyWhat you will get:£11.14 per hourOvertime after 40 hours in a weekFull on the job training on siteChance to work with a fantastic team locally24hour support from you GI TeamPotential for ongoing opportunitiesWeekly PayGi Group Holdings Recruitment Limited group of companies includes Gi Recruitment Limited, Draefern Limited, Gi Group Recruitment Ltd, INTOO (UK) Limited, Marks Sattin (UK) Limited, TACK TMI UK Limited and Grafton Professional Staffing Limited. We are committed to protecting the privacy of all of our candidates and clients. Following some recent changes to data protection laws we have updated our Privacy Policy. To view a copy and to help you understand how we collect, use and process your personal data please visit the Privacy page on our Gi Group UK website.IndustrialPickersAL210105185021 - BasingstokeLondon - London£10.65 - £15.98 per hourGBP15.98per hour"
